,name,team,position,median_fpts,high_fpts,low_fpts
195,Kerryon Johnson,PHI,rb,17.9,44.7,1.5
196,Chris Evans,CIN,rb,16.5,25.1,8.2
197,Eno Benjamin,ARI,rb,16.2,26.2,3.6
198,Justice Hill,BAL,rb,16.0,24.9,1.4
199,Demetric Felton,CLE,rb,15.4,22.7,8.1
200,Kylin Hill,GB,rb,15.0,15.8,14.4
201,Josh Adams,NYJ,rb,15.0,26.1,3.8
202,Dontrell Hilliard,HOU,rb,14.1,26.9,1.8
203,Tony Brooks-James,PIT,rb,13.8,19.5,8.1
204,Lamar Miller,WAS,rb,13.8,26.4,1.5
205,Travis Homer,SEA,rb,13.4,25.2,3.7
206,JaMycal Hasty,SF,rb,13.3,26.1,5.7
207,Jordan Howard,PHI,rb,12.9,24.8,1.4
208,Jeremy McNichols,TEN,rb,12.8,24.2,1.5
209,Trey Edmunds,PIT,rb,12.3,12.3,12.3
210,Ty Montgomery,NO,rb,11.9,21.2,1.5
211,Ke'Shawn Vaughn,TB,rb,11.5,15.4,7.2
212,D'Ernest Johnson,CLE,rb,11.5,22.7,1.5
213,Jordan Wilkins,IND,rb,11.5,24.0,4.8
214,Royce Freeman,DEN,rb,10.8,15.0,6.8
215,Gary Brightwell,NYG,rb,10.4,11.0,10.0
216,Ameer Abdullah,MIN,rb,10.3,14.2,3.5
217,Devonta Freeman,NO,rb,10.2,10.1,10.1
218,Alec Ingold,LV,rb,9.8,12.2,7.5
219,Patrick Ricard,BAL,rb,9.8,21.9,3.6
220,C.J. Ham,MIN,rb,9.7,11.9,7.4
221,Kene Nwangwu,MIN,rb,9.3,11.2,7.5
222,Gerrid Doaks,MIA,rb,9.1,9.1,9.1
223,Reggie Bonnafon,CAR,rb,7.9,12.3,3.4
224,Alex Armah,NO,rb,7.3,7.3,7.0
225,Rico Dowdle,DAL,rb,7.0,13.0,1.4
226,Andrew Beck,DEN,rb,7.0,6.8,6.8
227,Khalil Herbert,CHI,rb,6.8,6.8,6.8
228,Buddy Howell,HOU,rb,6.5,6.4,6.4
229,Nick Bellore,SEA,rb,5.8,5.8,5.8
230,Gabe Nabers,LAC,rb,5.8,6.3,4.7
231,Keith Smith,ATL,rb,5.5,5.7,4.6
232,Antonio Williams,BUF,rb,5.2,6.2,4.5
233,Kalen Ballage,PIT,rb,5.1,9.0,2.1
234,Andy Janovich,CLE,rb,4.8,5.7,4.4
235,Darwin Thompson,KC,rb,4.8,6.2,3.5
236,Trenton Cannon,CAR,rb,4.4,8.0,1.3
237,Alex Collins,SEA,rb,4.4,7.8,1.5
238,Derek Watt,PIT,rb,4.3,6.1,2.3
239,Ben Mason,BAL,rb,4.1,4.1,4.1
240,Dwayne Washington,NO,rb,4.0,7.1,1.5
241,Michael Burton,KC,rb,3.9,5.0,3.3
242,J.J. Taylor,NE,rb,3.8,6.8,1.4
243,Corey Clement,NYG,rb,3.1,3.4,2.7
244,Dexter Williams,GB,rb,3.0,3.7,2.4
245,Devine Ozigbo,JAC,rb,2.9,4.6,1.9
246,Elijhaa Penny,NYG,rb,2.8,4.8,1.2
247,Khari Blasingame,TEN,rb,2.7,4.5,1.4
248,Jakob Johnson,NE,rb,2.2,4.0,0.7
249,Dare Ogunbowale,JAC,rb,1.8,2.5,2.5
250,Jonathan Williams,WAS,rb,1.7,2.3,2.3
251,Patrick Laird,MIA,rb,1.2,1.7,1.7
252,Taiwan Jones,BUF,rb,1.2,1.6,1.6
253,Elijah McGuire,KC,rb,1.1,1.6,1.6
254,C.J. Prosise,TB,rb,1.1,1.6,1.6
255,Ryan Nall,CHI,rb,1.0,1.4,1.4
256,Adrian Killins Jr.,PHI,rb,1.0,1.4,1.4
257,Jason Huntley,PHI,rb,1.0,1.4,1.4
258,Artavis Pierce,CHI,rb,1.0,1.4,1.4
259,Austin Walter,NYJ,rb,1.0,1.4,1.4
260,LeVante Bellamy,DEN,rb,1.0,1.4,1.4
261,Nathan Cottrell,JAC,rb,1.0,1.4,1.4
262,Damarea Crockett,DEN,rb,1.0,1.4,1.4
263,Jason Cabinda,DET,rb,1.0,1.4,1.4
264,Scottie Phillips,HOU,rb,1.0,1.4,1.4
265,Jordan Scarlett,MIA,rb,0.9,1.4,1.4
266,Taquan Mizzell,NYG,rb,0.9,1.2,1.2
267,Cullen Gillaspia,NYG,rb,0.9,1.2,1.2
268,Alfred Morris,NYG,rb,0.9,1.2,1.2
269,Tony Jones Jr.,NO,rb,0.1,0.4,0.4
270,Tyreek Hill,KC,wr,229.0,250.1,212.6
271,Davante Adams,GB,wr,220.8,246.8,206.6
272,Stefon Diggs,BUF,wr,202.5,226.7,182.3
273,Calvin Ridley,ATL,wr,196.6,207.6,183.0
274,DeAndre Hopkins,ARI,wr,190.3,213.0,178.3
275,D.K. Metcalf,SEA,wr,187.1,195.8,184.6
276,Justin Jefferson,MIN,wr,185.3,200.1,170.4
277,A.J. Brown,TEN,wr,184.2,197.9,169.6
278,Keenan Allen,LAC,wr,168.5,186.5,150.0
279,Amari Cooper,DAL,wr,166.1,178.7,157.1
280,Mike Evans,TB,wr,166.1,180.1,156.0
281,Terry McLaurin,WAS,wr,162.4,175.9,151.2
282,Allen Robinson II,CHI,wr,162.0,175.1,150.0
283,Robert Woods,LAR,wr,159.3,172.0,153.1
284,Adam Thielen,MIN,wr,158.9,167.0,155.3
285,CeeDee Lamb,DAL,wr,156.5,164.6,145.6
286,Tyler Lockett,SEA,wr,154.3,163.0,146.6
287,Julio Jones,TEN,wr,153.7,169.0,134.1
288,D.J. Moore,CAR,wr,153.2,164.4,138.8
289,Cooper Kupp,LAR,wr,151.1,165.1,143.5
290,Chris Godwin,TB,wr,149.8,160.8,144.1
291,Odell Beckham Jr.,CLE,wr,145.6,160.1,141.8
292,Courtland Sutton,DEN,wr,145.0,159.9,135.2
293,Kenny Golladay,NYG,wr,144.3,151.2,135.1
294,Tee Higgins,CIN,wr,144.1,152.6,137.2
295,Ja'Marr Chase,CIN,wr,141.5,157.1,123.9
296,Brandon Aiyuk,SF,wr,140.8,167.9,122.7
297,D.J. Chark Jr.,JAC,wr,138.2,158.9,131.2
298,Chase Claypool,PIT,wr,137.3,156.6,112.5
299,Diontae Johnson,PIT,wr,136.9,141.0,137.2
300,Brandin Cooks,HOU,wr,136.4,146.4,132.0
