,Pos,Player,Team,Auction Value,Upside,Downside,Exp_PTS,Hi_PTS,Lo_PTS
2150,TE,Trey Burton,CHI,0.0,1.459057071960296,-1.5186104218362315,78.9,83.8,73.8
151,RB,Jaylen Samuels,PIT,0.0,5.300248138957818,-3.2456575682382125,78.8,96.6,67.9
2712,WR,Marquise Brown,BAL,0.0,7.027295285359807,-7.176178660049629,78.6,102.2,54.5
818,QB,Case Keenum,WAS,0.0,14.411910669975194,-11.553349875930525,78.1,126.5,39.3
2713,WR,Josh Doctson,WAS,0.0,3.1563275434243176,-2.858560794044665,77.5,88.1,67.9
2714,WR,Paul Richardson,WAS,0.0,3.6327543424317645,-7.176178660049632,77.2,89.4,53.1
2151,TE,Kyle Rudolph,MIN,0.0,3.394540942928043,-3.63275434243176,77.1,88.5,64.9
152,RB,Carlos Hyde,KC,0.0,5.389578163771717,-4.913151364764269,76.6,94.7,60.1
2715,WR,Adam Humphries,TEN,0.0,7.32506203473946,-3.2158808933002487,76.3,100.9,65.5
2152,TE,Mark Andrews,BAL,0.0,3.8709677419354858,-2.9478908188585597,76.1,89.1,66.2
153,RB,Chris Thompson,WAS,0.0,13.846153846153854,-5.776674937965265,75.9,122.4,56.5
2716,WR,Quincy Enunwa,NYJ,0.0,2.0248138957816377,-3.1563275434243176,75.5,82.3,64.9
154,RB,Kalen Ballage,MIA,0.0,5.300248138957818,-5.359801488833751,75.4,93.2,57.4
2717,WR,Taylor Gabriel,CHI,0.0,5.032258064516129,-4.22828784119107,75.2,92.1,61.0
155,RB,Jalen Richard,OAK,0.0,5.330024813895786,-6.014888337468984,74.1,92.0,53.9
2153,TE,Jack Doyle,IND,0.0,3.394540942928043,-1.9354838709677429,74.0,85.4,67.5
2718,WR,Zay Jones,BUF,0.0,10.600496277915637,-8.605459057071966,72.4,108.0,43.5
2719,WR,Willie Snead,BAL,0.0,4.853598014888339,-2.560794044665014,72.0,88.3,63.4
156,RB,Duke Johnson,CLE,0.0,4.585607940446654,-3.5136476426799015,71.0,86.4,59.2
157,RB,C.J. Anderson,DET,0.0,5.657568238213402,-10.362282878411914,71.0,90.0,36.2
2720,WR,David Moore,SEA,0.0,7.3548387096774235,-6.014888337468986,70.7,95.4,50.5
